"2026-02-12","77.90.185.18","Germany","TCP","\u0003\u0000\u0000/*\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Administr\r\n\u0001\u0000\u0008\u0000\u0003\u0000\u0000\u0000"
"2026-02-12","152.32.225.108","Hong Kong","TCP","#\u0000\u0000\u0000\u0012!\u0010\u0003\u001a\u0006:62710*\rfd135ge@\u0026yt_02\u0006123456"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\ufffd\u0001\u0000\u0001\u0000\u0000\u0000\u0014anonymous_command_on\u0000\u0000\u0000\u0000\u0008\u0000\u0001\u0000\u0000\u0000\u0000\u0000"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0000\u0000\u0000\n\u0000\u0012\u0000\u0000\ufffd\ufffd\ufffd\u0000\u0000"
"2026-02-12","152.32.225.108","Hong Kong","TCP","{\"id\":1
"2026-02-12","152.32.225.108","Hong Kong","TCP","EXAMPLE.COM\r\n"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\ufffd\u0005\u0000`\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0005\u0002\u0000\u0001\u0000\u0000\ufffd\ufffd"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\ufffd\ufffd\ufffd\ufffd\u0000\u0000]\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000I\u0000\u0000\u0000223.75.123.71\tIP\tUSER\tLOGON\tQWRtaW4=\tQWRtaW4=\t\t65536\tUTF-8\t805306367\t1\n\n\n"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0000\u0000\u0000\u0019a\n\u00074.6.2.3\u0010\u0006\"\t8798306680\u0001"
"2026-02-12","152.32.225.108","Hong Kong","TCP","2W\u0000\u0000\u0000\u00012C\u0000\u0000\u0000wx^\u0000j\u0000\ufffd\ufffd2J\u0000\u0000\u0000\u0001\u0000\u0000\u0000`{\"@timestamp\":\"2023-11-10T16:31:19.3549634+08:00\"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0000\u0000\u0000m\u0000\u0000\u0000i{\"code\":105
"2026-02-12","152.32.225.108","Hong Kong","TCP","HELF;\u0000\u0000\u0000\u0000\u0000\u0000\u0000\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u001b\u0000\u0000\u0000opc.tcp://85.214.126.3:4840"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0000\u0001\u0000\u0001\u0000\u0000\u0000\u0001\u0000\u0000\u0000\u0000"
"2026-02-12","152.32.225.108","Hong Kong","TCP",")\u0000\u0000\u0000\u0000\u0000\u0000\u0000{\"Type\":\"Auth\"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0000\u0000\u0000\u0006\u0000\u0000\u00000.26.0\u0007\u0000\u0000\u00000.26.10202cb962ac59075b964b07152d234b70"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\ufffdt\u0000\u0000\u0000\u0005\u0000+\u000e\u0001\u0000"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0003\u0000\u0000\u0016\u0011\ufffd\u0000\u0000\u0000\u0014\u0000\ufffd\u0002\u0001\u0000\ufffd\u0002\u0001\u0002\ufffd\u0001\n"
"2026-02-12","152.32.225.108","Hong Kong","TCP","DmdT\u0000\u0000\u0000\u0017\u0000\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0011\u0011\u0000\ufffd\u0001\ufffd\u0013"
"2026-02-12","152.32.225.108","Hong Kong","TCP",":\u0000\u0000\u0000/\u0000\u0000\u0000\u0002\u0000\u0000@\u0002\u000f\u0000\u0001\u0000=\u0005\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000/\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000@\u001f\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2026-02-12","152.32.225.108","Hong Kong","TCP","JRMI\u0000\u0002K"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0001\u0000\u0000\ufffd\ufffd\ufffd\u000b\ufffd\ufffd\u0000\u0000\u0000MMS\u0014\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0012\u0000\u0000\u0000\u0001\u0000\u0003\u0000\ufffd\ufffd\ufffd\ufffd\u000b\u0000\u0004\u0000\u001c\u0000\u0003\u0000N\u0000S\u0000P\u0000l\u0000a\u0000y\u0000e\u0000r\u0000/\u00009\u0000.\u00000\u0000.\u00000\u0000.\u00002\u00009\u00008\u00000\u0000;\u0000 \u0000{\u00000\u00000\u00000\u00000\u0000A\u0000A\u00000\u00000\u0000-\u00000\u0000A\u00000\u00000\u0000-\u00000\u00000\u0000a\u00000\u0000-\u0000A\u0000A\u00000\u0000A\u0000-\u00000\u00000\u00000\u00000\u0000A\u00000\u0000A\u0000A\u00000\u0000A\u0000A\u00000\u0000}\u0000\u0000\u0000\ufffdm\ufffd_"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0000Z\u0000\u0000\u0001\u0000\u0000\u0000\u00016\u0001
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0005\u0004\u0000\u0001\u0002\ufffd\u0005\u0001\u0000\u0003\ngoogle.com\u0000PGET / HTTP/1.0\r\n\r\n"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0004\u0001\u0000\u0016\u0000\u0000\u0001root\u0000"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0012\u0001\u00004\u0000\u0000\u0000\u0000\u0000\u0000\u0015\u0000\u0006\u0001\u0000\u001b\u0000\u0001\u0002\u0000\u001c\u0000\u000c\u0003\u0000(\u0000\u0004\ufffd\u0008\u0000\u0001U\u0000\u0000\u0000MSSQLServer\u0000H\u000f\u0000\u0000"
"2026-02-12","152.32.225.108","Hong Kong","TCP","stats\r\n"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0001\ufffd\u0000\u0000\u0000\u0004\u0000\u0000\ufffd\u0001\u0000\u0000SQLDB2RA\u0000\u0001\u0000\u0000\u0004\u0001\u0001\u0000\u0005\u0000\u001d\u0000\ufffd\u0000\u0000\u0000\u0001\u0000\u0000\ufffd\u0000\u0000\u0000\u0001\t\u0000\u0000\u0000\u0001\u0000\u0000@\u0000\u0000\u0000\u0001\t\u0000\u0000\u0000\u0001\u0000\u0000@\u0000\u0000\u0000\u0001\u0008\u0000\u0000\u0000\u0004\u0000\u0000@\u0000\u0000\u0000\u0001\u0004\u0000\u0000\u0000\u0001\u0000\u0000@\u0000\u0000\u0000@\u0004\u0000\u0000\u0000\u0004\u0000\u0000@\u0000\u0000\u0000\u0001\u0004\u0000\u0000\u0000\u0004\u0000\u0000@\u0000\u0000\u0000\u0001\u0004\u0000\u0000\u0000\u0004\u0000\u0000@\u0000\u0000\u0000\u0001\u0004\u0000\u0000\u0000\u0002\u0000\u0000@\u0000\u0000\u0000\u0001\u0004\u0000\u0000\u0000\u0004\u0000\u0000@\u0000\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0001\u0000\u0000@\u0000\u0000\u0000\u0000\u0004\u0000\u0000\u0000\u0004\u0000\u0000\ufffd\u0000\u0000\u0000\u0001\u0004\u0000\u0000\u0000\u0004\u0000\u0000\ufffd\u0000\u0000\u0000\u0001\u0004\u0000\u0000\u0000\u0003\u0000\u0000\ufffd\u0000\u0000\u0000\u0001\u0004\u0000\u0000\u0000\u0004\u0000\u0000\ufffd\u0000\u0000\u0000\u0001\u0008\u0000\u0000\u0000\u0001\u0000\u0000@\u0000\u0000\u0000\u0001\u0004\u0000\u0000\u0000\u0004\u0000\u0000@\u0000\u0000\u0000\u0001\u0010\u0000\u0000\u0000\u0001\u0000\u0000\ufffd\u0000\u0000\u0000\u0001\u0010\u0000\u0000\u0000\u0001\u0000\u0000\ufffd\u0000\u0000\u0000\u0001\u0004\u0000\u0000\u0000\u0004\u0000\u0000@\u0000\u0000\u0000\u0001\t\u0000\u0000\u0000\u0001\u0000\u0000@\u0000\u0000\u0000\u0001\t\u0000\u0000\u0000\u0001\u0000\u0000\ufffd\u0000\u0000\u0000\u0001\u0004\u0000\u0000\u0000\u0003\u0000\u0000\ufffd\u0000\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0001\u0004\u0000\u0000\u0001\u0000\u0000\ufffd\u0000\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0001\u0000\u0000@\u0000\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0001\u0000\u0000@\u0000\u0000\u0000\u0000        \u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0001\u0000\ufffd\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\ufffd\u0004\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0000\u0003\u0000\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0002\u0000\u0000\u0000\u0000\u000f\u0000"
"2026-02-12","152.32.225.108","Hong Kong","TCP","A\u0000\u0000\u0000:0\u0000\u0000\ufffd\ufffd\ufffd\ufffd\ufffd\u0007\u0000\u0000\u0000\u0000\u0000\u0000test.$cmd\u0000\u0000\u0000\u0000\u0000\ufffd\ufffd\ufffd\ufffd\u001b\u0000\u0000\u0000\u0001serverStatus\u0000\u0000\u0000\u0000\u0000\u0000\u0000\ufffd?\u0000"
"2026-02-12","152.32.225.108","Hong Kong","TCP","*1\r\n$4\r\ninfo\r\n"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\ufffd\u0001"
"2026-02-12","152.32.225.108","Hong Kong","TCP","GIOP\u0001\u0000\u0001\u0000$\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0001\u0000\u0000\u0000\u0001\u0000\u0000\u0000\u0006\u0000\u0000\u0000abcdef\u0000\u0000\u0004\u0000\u0000\u0000get\u0000\u0000\u0000\u0000\u0000"
"2026-02-12","152.32.225.108","Hong Kong","TCP","\u0010\u0010\u0000\u0004MQTT\u0004\u0002\u0000\u001e\u0000\u0004nmap"
"2026-02-12","152.32.225.108","Hong Kong","TCP","CNXN\u0000\u0000\u0000\u0001\u0000\u0010\u0000\u0000\u0007\u0000\u0000\u00002\u0002\u0000\u0000\ufffd\ufffd\ufffd\ufffdhost::\u0000"
"2026-02-12","45.142.154.108","Hong Kong","TCP","\u000f\u0000\u0000\u0000G\ufffd0~\ufffd\u0001\u0000\u0000\ufffd\u0001\ufffd"
"2026-02-12","45.142.154.108","Hong Kong","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003O)\ufffd\ufffd\u0005\u0013Pf㌐\u0016XzC|\ufffd\ufffd6\ufffd\ufffd\ufffdB\ufffd.\u0014\u0017\ufffdw\ufffd\ufffd\u001e \u0004\u0006\u0016\u0005\u0014\ufffdk0\ufffd(\u000e\ufffd|\ufffd^\u000f4\ufffd\ufffdti\u0026\u0026\ufffdA\u0014\ufffd\ufffdf\ufffd\u0011\ufffd\u0000\u0026\ufffd+\ufffd/\ufffd
"2026-02-12","45.142.154.108","Hong Kong","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003j\ufffdC^\ufffd\ufffdw6\ufffd\u001c\ufffd\ufffd}\ufffd\ufffd\ufffd\u000e \ufffd\u0004\ufffd\ufffd\ufffd\ufffd\u0013g\u0001\u0000j\u0007\ufffd \ufffd\ufffd\ufffd\u000c]h\ufffd\ufffdap\ufffdQV\ufffd\u001ad\ufffdm\u0007\ufffd\ufffd{\ufffdS\u0004\\Zҋ\ufffd=\ufffd\u0000\u0026\ufffd+\ufffd/\ufffd
"2026-02-12","45.142.154.108","Hong Kong","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nAccept: */*\r\n\r\n"
"2026-02-12","45.142.154.108","Hong Kong","TCP","USER anonymous\r\n"
